street address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3600 BLAINE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4669 DEWEY, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3700 OREGON, St. Louis, MO",38.588758,-90.232275,0.5,range_interpolation,3700,Oregon Ave,Saint Louis,MO,St. Louis city,63118,US,TIGER/Line® dataset from the US Census Bureau
"4200 FARLIN, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4200 EVANS, St. Louis, MO",38.652399,-90.239996,0.6,rooftop,4200,Evans Ave,Saint Louis,MO,St. Louis city,63113,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"5152 COLOGNE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"6056 SUTHERLAND, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"3900 UTAH, St. Louis, MO",38.597643,-90.250605,1,rooftop,3900,Utah St,Saint Louis,MO,St. Louis city,63116,US,City of St Louis
"955 ARCADE, St. Louis, MO",38.628815,-90.260886,0.1,street_center,,Arco Ave,Saint Louis,MO,St. Louis city,63110,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1844 MCLARAN, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"5208 CONDE, St. Louis, MO",38.675884,-90.211514,1,rooftop,5208,Conde St,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"4700 NEWPORT, St. Louis, MO",38.58069,-90.262199,0.6,rooftop,4700,Newport Ave,Saint Louis,MO,St. Louis city,63116,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"5017 37TH, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4940 BERTHOLD, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"3913 COMPTON, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"7600 IVORY, St. Louis, MO",38.549508,-90.26083,0.5,range_interpolation,7600,Ivory Ave,Saint Louis,MO,St. Louis city,63111,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3000 MOUNT PLEASANT, St. Louis, MO",38.57258,-90.238093,1,rooftop,3000,Mount Pleasant St,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"1900 OLIVE, St. Louis, MO",38.631497,-90.207334,0.6,rooftop,1900,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3500 HARPER, St. Louis, MO",38.766843,-90.217688,1,range_interpolation,3500,Harper Ln,Saint Louis,MO,St. Louis County,63137,US,TIGER/Line® dataset from the US Census Bureau
"4200 HARRIS, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1100 ANGELICA, St. Louis, MO",38.666534,-90.200462,1,range_interpolation,1100,Angelica St,Saint Louis,MO,St. Louis city,63107,US,TIGER/Line® dataset from the US Census Bureau
"4466 WEST PINE, St. Louis, MO",38.640357,-90.257108,0.6,rooftop,4466,W Pine Blvd,Saint Louis,MO,St. Louis city,63108,US,City of St Louis
"5818 SELBER, St. Louis, MO",38.683827,-90.273422,1,rooftop,5818,Selber Ct,Saint Louis,MO,St. Louis city,63120,US,City of St Louis
"6213 LINDENWOOD, St. Louis, MO",38.594752,-90.296537,0.6,rooftop,6213,Lindenwood Ct,Saint Louis,MO,St. Louis city,63109,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"4216 NATURAL BRIDGE, St. Louis, MO",38.716715,-90.318365,0.9,rooftop,4216,N Hanley Rd,Saint Louis,MO,St. Louis County,63121,US,St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3721 MICHIGAN, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4300 MAFFITT, St. Louis, MO",38.661986,-90.239023,0.6,rooftop,4300,Maffitt Ave,Saint Louis,MO,St. Louis city,63113,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"3140 OLIVE, St. Louis, MO",38.635242,-90.22537,0.6,rooftop,3140,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1300 MARKET, St. Louis, MO",38.648179,-90.194965,0.9,rooftop,1300,N Market St,Saint Louis,MO,St. Louis city,63106,US,City of St Louis
"4500 OLIVE, St. Louis, MO",38.648117,-90.255652,0.6,rooftop,4500,Olive St,Saint Louis,MO,St. Louis city,63108,US,City of St Louis
"3800 DUNNICA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"3474 GRACE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"5623 EICHELBERGER, St. Louis, MO",38.582386,-90.290067,0.6,rooftop,5623,Eichelberger St,Saint Louis,MO,St. Louis city,63109,US,City of St Louis
"6042 HARNEY, St. Louis, MO",38.706588,-90.254789,0.6,rooftop,6042,Harney Ave,Saint Louis,MO,St. Louis city,63136,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"6036 LUCILLE, St. Louis, MO",38.704933,-90.255678,0.6,rooftop,6036,Lucille Ave,Saint Louis,MO,St. Louis city,63136,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"8606 TARA, St. Louis, MO",38.715383,-90.243889,1,rooftop,8606,Tara Ln,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"3901 KINGSHIGHWAY, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4000 UNION, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"5268 THRUSH, St. Louis, MO",38.698001,-90.248842,0.6,rooftop,5268,Thrush Ave,Saint Louis,MO,St. Louis city,63120,US,City of St Louis
"917 COLE, St. Louis, MO",38.63516,-90.191847,1,rooftop,917,Cole St,Saint Louis,MO,St. Louis city,63101,US,City of St Louis
"5800 NATURAL BRIDGE, St. Louis, MO",38.741308,-90.334355,0.9,rooftop,5800,N Hanley Rd,Saint Louis,MO,St. Louis County,63134,US,St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"2344 HEBERT, St. Louis, MO",38.655703,-90.207432,1,rooftop,2344,Hebert St,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1200 CLARK, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"7116 BROADWAY, St. Louis, MO",38.695499,-90.224247,0.9,rooftop,7116,N Broadway,Saint Louis,MO,St. Louis city,63147,US,City of St Louis
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"3340 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"5370 PERSHING, St. Louis, MO",38.647429,-90.277084,0.6,rooftop,5370,Pershing Ave,Saint Louis,MO,St. Louis city,63112,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"100 MONROE, St. Louis, MO",38.650336,-90.186464,0.6,range_interpolation,100,Monroe St,Saint Louis,MO,St. Louis city,63102,US,TIGER/Line® dataset from the US Census Bureau
"6105 TENNESSEE, St. Louis, MO",38.564766,-90.256614,0.6,rooftop,6105,Tennessee Ave,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"4722 PENROSE, St. Louis, MO",38.678288,-90.240638,1,rooftop,4722,Penrose St,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"6336 GRAND, St. Louis, MO",38.562489,-90.259123,0.5,rooftop,6336,S Grand Blvd,Saint Louis,MO,St. Louis city,63111,US,City of St Louis
"3020 BRANTNER, St. Louis, MO",38.6454,-90.221762,1,rooftop,3020,Brantner Pl,Saint Louis,MO,St. Louis city,63106,US,City of St Louis
"6805 MINNESOTA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4238 CLARENCE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"5439 GILMORE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4600 RAY, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1811 ANNIE MALONE, St. Louis, MO",38.656526,-90.239446,1,rooftop,1811,Annie Malone Dr,Saint Louis,MO,St. Louis city,63113,US,City of St Louis
"4328 DRYDEN, St. Louis, MO",38.682003,-90.230102,1,rooftop,4328,Dryden Ct,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
"5468 GRAVOIS, St. Louis, MO",38.578097,-90.271092,1,range_interpolation,5468,Gravois Rd,Saint Louis,MO,St. Louis city,63116,US,TIGER/Line® dataset from the US Census Bureau
"   , St. Louis, MO",38.631501,-90.19231,1,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"3970 FLAD, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"2200 JULES, St. Louis, MO",38.609292,-90.218618,1,range_interpolation,2200,Jules St,Saint Louis,MO,St. Louis city,63104,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"322 DAVIS, St. Louis, MO",38.544432,-90.26502,1,range_interpolation,322,State Hwy 267,Saint Louis,MO,St. Louis city,63111,US,TIGER/Line® dataset from the US Census Bureau
"835 HORNSBY, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4833 NEBRASKA, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"5722 GOENER, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"2939 UNIVERSITY, St. Louis, MO",38.655118,-90.218024,1,rooftop,2939,University St,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"4344 SHAW, St. Louis, MO",38.612845,-90.259422,0.6,rooftop,4344,Shaw Ave,Saint Louis,MO,St. Louis city,63110,US,City of St Louis
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"4929 LOTUS, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4929 LOTUS, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"336 CHRISTIAN, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"5421 ARLINGTON, St. Louis, MO",38.695489,-90.242691,0.6,rooftop,5421,Arlington Ave,Saint Louis,MO,St. Louis city,63120,US,City of St Louis
"1342 MONTCLAIR, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"1915 OLIVE, St. Louis, MO",38.632115,-90.207675,0.6,rooftop,1915,Olive St,Saint Louis,MO,St. Louis city,63103,US,City of St Louis
"1 CHILDRENS, St. Louis, MO",38.637813,-90.265008,1,rooftop,1,Childrens Pl,Saint Louis,MO,St. Louis city,63110,US,City of St Louis
"5500 CLEMENS, St. Louis, MO",38.656101,-90.278683,0.6,range_interpolation,5500,Clemens Ave,Saint Louis,MO,St. Louis city,63112,US,TIGER/Line® dataset from the US Census Bureau
"1322 SAN JACINTO, St. Louis, MO",38.627002,-90.298578,1,rooftop,1322,San Jacinto Ct,Saint Louis,MO,St. Louis city,63139,US,City of St Louis
"1415 PENROSE, St. Louis, MO",38.6669,-90.202664,1,rooftop,1415,Penrose St,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"3910 ASHLAND, St. Louis, MO",38.661586,-90.224797,0.6,rooftop,3910,Ashland Ave,Saint Louis,MO,St. Louis city,63107,US,City of St Louis
"4124 PAGE, St. Louis, MO",38.631501,-90.19231,0.33,place,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
"4263 SAN FRANCISCO, St. Louis, MO",38.669645,-90.231097,0.6,rooftop,4263,San Francisco Ave,Saint Louis,MO,St. Louis city,63115,US,City of St Louis
